"","Y","X11_date","X1_G","X2_OG","X3_W","X4_OW","X5_L","X6_OL","X7_S","X8_OS","X9_D","X10_Sta","C1_DFri","C1_DSat","C1_DSun","C2_East","C3_OEast","C4_DATL","C4_DNW","C4_DP","C4_DSE","C4_DSW","C5_ODATL","C5_ODNW","C5_ODP","C5_ODSE","C5_ODSW","Rand"
"Y",0,2.85185116737363e-05,3.07528810756796e-05,3.3431118852123e-05,5.22144549819359e-11,2.57240832857164e-06,0.433398827761046,0.0140411721908464,0.000922581350253138,0.435217745851875,0.171447047753051,0,0.470078537095895,0.0662758468525921,0.285552489803931,0.015117047879547,0.987340437704096,0.105973839589379,0.00242608593558381,0.081243190781437,0.635992648301791,0.0596083227636647,0.788756442175964,0.118134248113491,0.373745766783843,0.86291547012656,0.58131635281789,0.970513625952257
"X11_date",2.85185116737363e-05,0,0,0,0,0,0,0,0.673136688510529,0.071821785252152,0.762680457287697,0.8212747078603,0.287047451219584,0.56624465717694,0.0826001456809766,0.934119515506884,0.422338786927245,0.902104257635776,0.422263165535714,0.172845155336006,0.801834673937802,0.675406657973832,0.235347867658039,0.731709849426192,0.0461191718694925,0.645717587475469,0.501392390109474,0.393011374962434
"X1_G",3.07528810756796e-05,0,0,0,0,0,0,0,0.691889418506554,0.077336778511412,0.860452612792142,0.984556755246221,0.272689045165392,0.566598382935867,0.0776141306929798,0.692293112233383,0.419487977131851,0.998816321424072,0.460306437204426,0.117667396439518,0.864982841853286,0.792358109387568,0.263957014707092,0.800914536243284,0.0510993979429836,0.659104272570711,0.479256863385847,0.390506133961726
"X2_OG",3.3431118852123e-05,0,0,0,0,0,0,0,0.655421955725193,0.0740578730373855,0.890537556693337,0.87275773926057,0.271607301158636,0.556266914729481,0.0810802158257995,0.845971228792523,0.599974747434928,0.896241225373476,0.474461077582465,0.177374491021272,0.86462555173727,0.730684456597979,0.339864068449144,0.753367713426056,0.0829094995234736,0.639342015789569,0.422173172431838,0.359269651961916
"X3_W",5.22144549819359e-11,0,0,0,0,0,0,0,1.15153930835277e-09,0.0521811757612944,0.983627329306059,0.352940119190732,0.20268781491042,0.472687548119336,0.533936427337187,0.190437697831754,0.995530895935152,0.0511309294532395,0.346656232209349,0.499261452267962,0.598135783634331,0.0376375418489425,0.644683456516269,0.711367717538636,0.285874392495319,0.858025658189916,0.443396502082806,0.351197142327789
"X4_OW",2.57240832857164e-06,0,0,0,0,0,0,0,0.825472561446034,0.000303882058074301,0.487051073216826,0.718702795338796,0.235445839805511,0.474793034909903,0.0527179051135769,0.50703966696022,0.306006645332301,0.818935537114695,0.418531900151607,0.126323918916512,0.856342841673455,0.834594939796255,0.159211713317582,0.947119984471191,0.149694286642052,0.224490331332693,0.00313834710651717,0.963150675101457
"X5_L",0.433398827761046,0,0,0,0,0,0,0,1.85408806545103e-07,0.260603818160118,0.779526317040364,0.384246715564594,0.527060151882081,0.0934825338128571,0.0160688799783073,0.550358817053249,0.166587145001206,0.0576001619212292,0.730438225907787,0.0441326495749528,0.422165454845877,0.0134119788057457,0.144977205526371,0.943880106710154,0.0220182036060503,0.56284336228055,0.644349887798125,0.576620547469854
"X6_OL",0.0140411721908464,0,0,0,0,0,0,0,0.323883116362203,1.44212098416295e-11,0.649774281926335,0.526506643701169,0.477407608041573,0.763327244227801,0.283263841970015,0.744908819314098,0.0547342532089088,0.651485156806838,0.670519188498749,0.424170158800937,0.636207272387674,0.424077526960747,0.00229816321456755,0.544470687905532,0.1216034111158,0.688346869980013,0.121609516164202,0.104619446359584
"X7_S",0.000922581350253138,0.673136688510529,0.691889418506554,0.655421955725193,1.15153930835277e-09,0.825472561446034,1.85408806545103e-07,0.323883116362203,0,0.0475163087016802,0.142831721052047,0.119546602987155,0.296635566876109,0.000945653694111925,0.164876812783531,0.0969056389890904,0.156315965826952,0.00618046636613057,0.151979869085905,0.486350111237357,0.988492150906016,0.146022666869158,0.629057393002947,0.871218813499971,0.632214284944277,0.303894011580225,0.211402615508591,0.0268618186331009
"X8_OS",0.435217745851875,0.071821785252152,0.077336778511412,0.0740578730373855,0.0521811757612944,0.000303882058074301,0.260603818160118,1.44212098416295e-11,0.0475163087016802,0,0.014294169109971,0.953679869342943,0.558500664341407,0.97373475060183,0.73867856608149,0.614506890396534,0.155190329522826,0.959755982180155,0.378746058531449,0.226157766492507,0.457803039021743,0.14690400986174,0.00942215278365673,0.851291287282989,0.883060593302825,0.323324325065826,0.0524272156996877,0.731211337016417
"X9_D",0.171447047753051,0.762680457287697,0.860452612792142,0.890537556693337,0.983627329306059,0.487051073216826,0.779526317040364,0.649774281926335,0.142831721052047,0.014294169109971,0,0.301934915273328,0.485745635396981,0.359027501485124,0.063888683052673,8.81036863058789e-06,1.59091670696655e-07,0.546007509012221,0.0144635197268075,6.30335077023148e-07,0.249119172030658,0.127790316158083,0.142071264602066,0.0075570989834115,5.64920776824351e-09,0.374227302430297,0.109816558064124,0.244625965977333
"X10_Sta",0,0.8212747078603,0.984556755246221,0.87275773926057,0.352940119190732,0.718702795338796,0.384246715564594,0.526506643701169,0.119546602987155,0.953679869342943,0.301934915273328,0,0.30753153199866,0.189333659706886,0.283148711234567,0,0.00142924496238139,0.0170845598541409,0.41450003091607,0.00019950898612795,0.201224441505042,1.43430242901162e-22,0.0368741006287487,0.385997069485848,0.207524930877241,0.236549959283099,0.0335385834477849,0.653300701803766
"C1_DFri",0.470078537095895,0.287047451219584,0.272689045165392,0.271607301158636,0.20268781491042,0.235445839805511,0.527060151882081,0.477407608041573,0.296635566876109,0.558500664341407,0.485745635396981,0.30753153199866,0,2.38748195388801e-30,8.04182714853986e-25,0.207420544629598,0.124982974593075,0.0859303162130485,0.650905088526725,0.152946178688802,0.787097886517037,0.842762640244397,0.963484042657544,0.00849686892562033,0.812306819927347,0.10210533525441,0.476522530789275,0.786629711611171
"C1_DSat",0.0662758468525921,0.56624465717694,0.566598382935867,0.556266914729481,0.472687548119336,0.474793034909903,0.0934825338128571,0.763327244227801,0.000945653694111925,0.97373475060183,0.359027501485124,0.189333659706886,2.38748195388801e-30,0,9.41122790580046e-18,0.749204624461277,0.756470612964851,0.0066375285884199,0.587554780882891,0.173708121465654,0.0970603096168974,0.714375556823503,0.883891976406602,0.515564085241393,0.924782854468803,0.700428923935206,0.34510245334599,0.846492093099006
"C1_DSun",0.285552489803931,0.0826001456809766,0.0776141306929798,0.0810802158257995,0.533936427337187,0.0527179051135769,0.0160688799783073,0.283263841970015,0.164876812783531,0.73867856608149,0.063888683052673,0.283148711234567,8.04182714853986e-25,9.41122790580046e-18,0,0.321363869502057,0.246092807520852,0.0282847982969683,0.203726731070712,0.00223235631385066,0.0808655210465049,0.696012375726373,0.460600690963178,0.0603761710295174,0.639093142346885,0.236777392699533,0.806592621282705,0.326735492706992
"C2_East",0.015117047879547,0.934119515506884,0.692293112233383,0.845971228792523,0.190437697831754,0.50703966696022,0.550358817053249,0.744908819314098,0.0969056389890904,0.614506890396534,8.81036863058789e-06,0,0.207420544629598,0.749204624461277,0.321363869502057,0,4.44089209850063e-16,0,1.58781787519806e-36,2.85877686244182e-32,0,6.74322073613563e-32,3.36828883678031e-05,0.00195210109369552,0.00182506233639783,0.000727290129840963,8.78410332374495e-06,0.270596610003373
"C3_OEast",0.987340437704096,0.422338786927245,0.419487977131851,0.599974747434928,0.995530895935152,0.306006645332301,0.166587145001206,0.0547342532089088,0.156315965826952,0.155190329522826,1.59091670696655e-07,0.00142924496238139,0.124982974593075,0.756470612964851,0.246092807520852,4.44089209850063e-16,0,0.00164489106725796,0.000671329774013257,0.00128228078490838,5.86839788643267e-05,6.95105130248899e-05,0,9.89256418248359e-30,9.7045188135443e-39,0,1.72529647801789e-33,0.782863935482818
"C4_DATL",0.105973839589379,0.902104257635776,0.998816321424072,0.896241225373476,0.0511309294532395,0.818935537114695,0.0576001619212292,0.651485156806838,0.00618046636613057,0.959755982180155,0.546007509012221,0.0170845598541409,0.0859303162130485,0.0066375285884199,0.0282847982969683,0,0.00164489106725796,0,1.69891102059836e-07,8.27200626888636e-07,7.18226362850051e-07,9.52222005109481e-07,0.47838065144467,0.293222415031404,0.396188526592263,0.00886408738879707,0.0200559048563975,0.97115025642173
"C4_DNW",0.00242608593558381,0.422263165535714,0.460306437204426,0.474461077582465,0.346656232209349,0.418531900151607,0.730438225907787,0.670519188498749,0.151979869085905,0.378746058531449,0.0144635197268075,0.41450003091607,0.650905088526725,0.587554780882891,0.203726731070712,1.58781787519806e-36,0.000671329774013257,1.69891102059836e-07,0,6.20794855674216e-08,5.23741913099886e-08,7.35361756721738e-08,0.236690583308419,0.268739109595775,0.0789974440910957,0.0594856855183588,0.0971291832291497,0.45516104188333
"C4_DP",0.081243190781437,0.172845155336006,0.117667396439518,0.177374491021272,0.499261452267962,0.126323918916512,0.0441326495749528,0.424170158800937,0.486350111237357,0.226157766492507,6.30335077023148e-07,0.00019950898612795,0.152946178688802,0.173708121465654,0.00223235631385066,2.85877686244182e-32,0.00128228078490838,8.27200626888636e-07,6.20794855674216e-08,0,2.90456943185914e-07,3.9276642152349e-07,0.0744567581178432,0.294458758416499,0.305082934645321,0.144138703897585,0.0252022610873071,0.662100752644028
"C4_DSE",0.635992648301791,0.801834673937802,0.864982841853286,0.86462555173727,0.598135783634331,0.856342841673455,0.422165454845877,0.636207272387674,0.988492150906016,0.457803039021743,0.249119172030658,0.201224441505042,0.787097886517037,0.0970603096168974,0.0808655210465049,0,5.86839788643267e-05,7.18226362850051e-07,5.23741913099886e-08,2.90456943185914e-07,0,3.38229656671728e-07,0.0241168901344495,0.298673847954722,0.00525460987354226,0.611626392997211,0.142961282767358,0.167559126095543
"C4_DSW",0.0596083227636647,0.675406657973832,0.792358109387568,0.730684456597979,0.0376375418489425,0.834594939796255,0.0134119788057457,0.424077526960747,0.146022666869158,0.14690400986174,0.127790316158083,1.43430242901162e-22,0.842762640244397,0.714375556823503,0.696012375726373,6.74322073613563e-32,6.95105130248899e-05,9.52222005109481e-07,7.35361756721738e-08,3.9276642152349e-07,3.38229656671728e-07,0,0.0102705074081037,0.047777557074892,0.176971674275852,0.257917164614331,0.0444443156684162,0.78359857255364
"C5_ODATL",0.788756442175964,0.235347867658039,0.263957014707092,0.339864068449144,0.644683456516269,0.159211713317582,0.144977205526371,0.00229816321456755,0.629057393002947,0.00942215278365673,0.142071264602066,0.0368741006287487,0.963484042657544,0.883891976406602,0.460600690963178,3.36828883678031e-05,0,0.47838065144467,0.236690583308419,0.0744567581178432,0.0241168901344495,0.0102705074081037,0,3.21095519790833e-07,6.48945457639781e-09,1.66871421963268e-07,6.13815336481955e-08,0.253447429441681
"C5_ODNW",0.118134248113491,0.731709849426192,0.800914536243284,0.753367713426056,0.711367717538636,0.947119984471191,0.943880106710154,0.544470687905532,0.871218813499971,0.851291287282989,0.0075570989834115,0.385997069485848,0.00849686892562033,0.515564085241393,0.0603761710295174,0.00195210109369552,9.89256418248359e-30,0.293222415031404,0.268739109595775,0.294458758416499,0.298673847954722,0.047777557074892,3.21095519790833e-07,0,1.81712383755069e-07,2.52332272938961e-06,1.12118459432415e-06,0.0558748100861362
"C5_ODP",0.373745766783843,0.0461191718694925,0.0510993979429836,0.0829094995234736,0.285874392495319,0.149694286642052,0.0220182036060503,0.1216034111158,0.632214284944277,0.883060593302825,5.64920776824351e-09,0.207524930877241,0.812306819927347,0.924782854468803,0.639093142346885,0.00182506233639783,9.7045188135443e-39,0.396188526592263,0.0789974440910957,0.305082934645321,0.00525460987354226,0.176971674275852,6.48945457639781e-09,1.81712383755069e-07,0,9.18931113049693e-08,3.24158689222394e-08,0.903332153693828
"C5_ODSE",0.86291547012656,0.645717587475469,0.659104272570711,0.639342015789569,0.858025658189916,0.224490331332693,0.56284336228055,0.688346869980013,0.303894011580225,0.323324325065826,0.374227302430297,0.236549959283099,0.10210533525441,0.700428923935206,0.236777392699533,0.000727290129840963,0,0.00886408738879707,0.0594856855183588,0.144138703897585,0.611626392997211,0.257917164614331,1.66871421963268e-07,2.52332272938961e-06,9.18931113049693e-08,0,6.18479463982773e-07,0.265957566897232
"C5_ODSW",0.58131635281789,0.501392390109474,0.479256863385847,0.422173172431838,0.443396502082806,0.00313834710651717,0.644349887798125,0.121609516164202,0.211402615508591,0.0524272156996877,0.109816558064124,0.0335385834477849,0.476522530789275,0.34510245334599,0.806592621282705,8.78410332374495e-06,1.72529647801789e-33,0.0200559048563975,0.0971291832291497,0.0252022610873071,0.142961282767358,0.0444443156684162,6.13815336481955e-08,1.12118459432415e-06,3.24158689222394e-08,6.18479463982773e-07,0,0.180166090465046
"Rand",0.970513625952257,0.393011374962434,0.390506133961726,0.359269651961916,0.351197142327789,0.963150675101457,0.576620547469854,0.104619446359584,0.0268618186331009,0.731211337016417,0.244625965977333,0.653300701803766,0.786629711611171,0.846492093099006,0.326735492706992,0.270596610003373,0.782863935482818,0.97115025642173,0.45516104188333,0.662100752644028,0.167559126095543,0.78359857255364,0.253447429441681,0.0558748100861362,0.903332153693828,0.265957566897232,0.180166090465046,0
